rank,school,success_score,incoming_score,outgoing_score,net_ratio
1,Southern Miss,0.267679,0.429131,0.0741636,0.376812
2,Western Michigan,0.243631,0.467473,0.108433,0.212121
3,Hawai'i,0.206116,0.316922,0.0506738,0.314286
4,Ball State,0.201575,0.35135,0.02922,0.173333
5,Jacksonville State,0.201373,0.415387,0.116305,0.142857
6,Georgia Southern,0.194189,0.322004,0.0786751,0.283951
7,Miami (OH),0.190917,0.314,0.0245109,0.206349
8,Eastern Michigan,0.183131,0.340098,0.0486996,0.138462
9,South Alabama,0.178284,0.294312,0.0357755,0.209302
10,Charlotte,0.176161,0.306067,0.0811001,0.237288
11,Massachusetts,0.174412,0.229219,0.0267447,0.33913
12,Louisiana Tech,0.172528,0.417125,0.210649,0.135802
13,Buffalo,0.167867,0.457223,0.20248,0
14,Akron,0.147324,0.319912,0.178652,0.204819
15,UNLV,0.14374,0.359165,0.270738,0.226891
16,Fresno State,0.129441,0.378359,0.365795,0.25
17,UTEP,0.128405,0.373671,0.176751,-0.027027
18,SMU,0.123714,0.167445,0.130259,0.395349
19,Western Kentucky,0.123567,0.220932,0.0849851,0.192982
20,San José State,0.120365,0.204256,0.0473173,0.162162
21,Temple,0.116725,0.369411,0.389866,0.244898
22,Tulsa,0.115138,0.235089,0.0624446,0.0816327
23,Florida Atlantic,0.114259,0.200035,0.102399,0.224806
24,Georgia State,0.113566,0.262157,0.110663,0.0784314
25,Arkansas State,0.10802,0.193575,0.188749,0.339286
26,Middle Tennessee,0.101754,0.135205,0.000448146,0.171429
27,Nevada,0.0968188,0.205157,0.227084,0.311828
28,Louisiana,0.0949871,0.407812,0.175029,-0.282051
29,Texas State,0.0854414,0.170579,0.254527,0.38255
30,Sam Houston,0.0815505,0.0759981,0.103825,0.373494
31,Bowling Green,0.0767666,0.237037,0.147831,0.012987
32,UTSA,0.0708005,0.0103638,0.0193664,0.357143
33,App State,0.0554851,0.172634,0.17947,0.115044
34,Liberty,0.0545987,0.18148,0.290406,0.254902
35,Ohio,0.0526475,0.0990556,0.0502069,0.0909091
36,Old Dominion,0.0503196,0.275774,0.164551,-0.191011
37,Marshall,0.0496808,0.222504,0.226469,0.0318471
38,Toledo,0.0482852,0.127927,0.0431289,-0.0136986
39,New Mexico,0.0367374,0.150287,0.232595,0.156863
40,Kent State,0.0335648,0.290155,0.332494,-0.0588235
41,New Mexico State,0.0158449,0.189551,0.134897,-0.192308
42,UL Monroe,0.0148981,0.121639,0.250632,0.146341
43,Coastal Carolina,0.00766368,0.101577,0.155445,0.0175439
44,East Carolina,0.00727491,0.139922,0.28187,0.109375
45,North Texas,0.00567743,0.0368808,0.138979,0.144654
46,Missouri State,-0.00457035,0.162872,0.524782,0.357143
47,Utah State,-0.0088905,0.178328,0.375158,0.0724638
48,UAB,-0.0111953,-0.0324515,0.0994397,0.174312
49,James Madison,-0.0112452,0.0825293,0.233004,0.0869565
50,Northern Illinois,-0.0131434,0.232431,0.104956,-0.489362
51,Boise State,-0.0149662,0.0791431,0.215691,0.0508475
52,Kennesaw State,-0.0151599,0.0226905,0.252285,0.245902
53,Wake Forest,-0.0199906,0.144664,0.216239,-0.137255
54,Central Michigan,-0.031266,0.060003,0.041262,-0.244444
55,South Florida,-0.0380921,-0.069728,0.16042,0.22449
56,Rice,-0.0427497,-0.0226894,0.214136,0.164179
57,San Diego State,-0.044521,-0.00955444,0.272397,0.209877
58,Purdue,-0.0450614,0.00528708,0.173669,0.021978
59,California,-0.0462642,-0.050182,0.11996,0.0740741
60,Pittsburgh,-0.0539838,-0.0107343,0.120389,-0.0625
61,UConn,-0.0555139,-0.0709164,0.25125,0.276596
62,Arizona,-0.0556681,0.0526743,0.238719,-0.0519481
63,Tulane,-0.0605802,-0.00469471,0.27541,0.121951
64,Vanderbilt,-0.0636587,0.0921009,0.275607,-0.135135
65,Florida International,-0.0650808,-0.0511727,0.19072,0.0886076
66,Troy,-0.0740625,0.0473532,0.278849,-0.0704225
67,Boston College,-0.0902963,-0.0444247,0.180742,-0.0693069
68,Kansas,-0.0928255,-0.115919,0.269226,0.229508
69,NC State,-0.0941748,-0.0220796,0.227734,-0.0740741
70,Wyoming,-0.0993196,0.0612377,0.263194,-0.254902
71,UCLA,-0.108949,-0.162491,0.193611,0.151899
72,UCF,-0.10933,-0.148587,0.142572,0.038674
73,Indiana,-0.111094,-0.073564,0.278011,0.0454545
74,Arkansas,-0.114374,-0.0177198,0.31838,-0.05
75,North Carolina,-0.115639,0.0461549,0.276053,-0.279503
76,Colorado State,-0.128404,-0.181782,0.168658,0.0654206
77,Oregon State,-0.135016,-0.0595097,0.200333,-0.225806
78,Virginia,-0.142781,-0.326923,0.0828796,0.227723
79,Arizona State,-0.151726,-0.0495834,0.496233,0.109677
80,Syracuse,-0.157997,-0.16922,0.155735,-0.133333
81,BYU,-0.158902,-0.125115,0.338242,0.025641
82,Missouri,-0.165479,-0.082769,0.382328,-0.0469799
83,Northwestern,-0.172662,-0.0565513,0.443192,-0.0571429
84,Memphis,-0.176776,-0.287879,0.242789,0.2
85,Houston,-0.177037,-0.140388,0.521555,0.24812
86,USC,-0.18283,-0.0874208,0.399475,-0.0963855
87,Mississippi State,-0.188352,-0.194351,0.212846,-0.136612
88,Maryland,-0.190266,-0.124089,0.245586,-0.272727
89,Illinois,-0.204193,-0.211868,0.205791,-0.182609
90,Florida,-0.206604,-0.153243,0.30542,-0.191781
91,Duke,-0.206842,-0.191616,0.203449,-0.25
92,South Carolina,-0.2094,-0.165577,0.43262,0.015873
93,Air Force,-0.214565,0,0.0485506,-1
94,Cincinnati,-0.215741,-0.336678,0.158005,0
95,Louisville,-0.218475,-0.226708,0.354008,0.00540541
96,Oregon,-0.225338,-0.162069,0.321387,-0.239437
97,Kentucky,-0.232461,-0.317879,0.195185,-0.0748299
98,Miami,-0.236802,-0.13448,0.468654,-0.144828
99,Georgia Tech,-0.236856,-0.108056,0.623219,0.0206897
100,Michigan State,-0.245709,-0.273782,0.311446,-0.0769231
101,Auburn,-0.279949,-0.419473,0.195241,-0.0582011
102,Virginia Tech,-0.286141,-0.406352,0.271216,-0.008
103,Texas Tech,-0.287761,-0.500978,0.157028,0.0491803
104,Navy,-0.28785,0,0.292833,-1
105,Utah,-0.288261,-0.34983,0.28691,-0.136364
106,Penn State,-0.29048,-0.36877,0.201269,-0.228571
107,Washington State,-0.294353,-0.344908,0.261402,-0.217391
108,Delaware,-0.296105,0.231087,1.64377,0.407407
109,Ole Miss,-0.298648,-0.284286,0.574595,0.0793651
110,Army,-0.308866,0,0.362887,-1
111,Notre Dame,-0.310918,-0.215197,0.469399,-0.3125
112,TCU,-0.322269,-0.416787,0.362777,-0.0252101
113,Florida State,-0.341001,-0.391632,0.339701,-0.216374
114,Minnesota,-0.342768,-0.373327,0.485866,-0.0517241
115,Texas,-0.343845,-0.333256,0.428818,-0.242857
116,West Virginia,-0.346751,-0.49416,0.262792,-0.104167
117,Nebraska,-0.353873,-0.365045,0.433236,-0.206897
118,Washington,-0.354207,-0.361159,0.517221,-0.0923077
119,Baylor,-0.356565,-0.716936,0.069018,0.113043
120,LSU,-0.356895,-0.419938,0.419988,-0.104651
121,Alabama,-0.357294,-0.284848,0.425154,-0.43662
122,Wisconsin,-0.372779,-0.52992,0.305868,-0.080292
123,Colorado,-0.376238,-0.562303,0.307907,-0.0135747
124,Oklahoma,-0.390963,-0.543504,0.267391,-0.194969
125,Stanford,-0.397417,-0.30985,0.491368,-0.47541
126,Kansas State,-0.409067,-0.591874,0.288212,-0.133333
127,Iowa,-0.421736,-0.466653,0.353522,-0.411765
128,Oklahoma State,-0.48592,-0.872558,0.149783,-0.0235294
129,Texas A&M,-0.492966,-0.658956,0.397309,-0.221477
130,Clemson,-0.499774,-0.545946,0.325896,-0.645161
131,Tennessee,-0.511442,-0.691487,0.380613,-0.257576
132,Ohio State,-0.579103,-0.766729,0.386976,-0.39823
133,Iowa State,-0.610081,-0.90124,0.352964,-0.267857
134,Georgia,-0.620149,-0.66711,0.701625,-0.380531
135,Rutgers,-0.665507,-0.96392,0.518997,-0.139241
136,Michigan,-0.698954,-1.04152,0.382869,-0.316667
