school,pagerank,dev_score,dev_score_norm,portal_index
SMU,0.34263568035059766,0.7261914346157388,1.0,0.8027907041051793
UCF,0.7267357506438211,0.5718471867311108,0.7369967791207682,0.733918470577684
Florida State,0.3165132512571378,0.6399127775907392,0.852980820460045,0.6920405496991728
Arkansas State,0.7906554416467699,0.515287340973999,0.6406185738398542,0.6856296341819289
Kansas,0.2619908665805052,0.6388813798393567,0.851223314531972,0.6744535801465319
Texas Tech,0.5492086811525289,0.559519620076448,0.7159905558230703,0.6659559934219078
Western Kentucky,0.53177548649227,0.49313726677366865,0.6028747580693085,0.5815449765961969
North Texas,0.5676073747752675,0.4809869514729624,0.5821705717936227,0.5778016126881161
Tennessee,0.5772663133736528,0.46337809658365703,0.5521650120441973,0.559695402443034
Temple,0.06751613795218944,0.5766478548716493,0.7451771369937595,0.5418788372812885
Arizona,0.38399428705317934,0.48481768455293694,0.5886981564115802,0.5272869956040599
Michigan State,0.3284240963934025,0.47696929359321916,0.5753244665629752,0.5012543555121034
Auburn,0.4223924183916237,0.43068086817267587,0.49644880296110894,0.47423188759026336
UL Monroe,0.3226158863337261,0.3929161717803405,0.4320976080002521,0.3992530915002943
Texas State,0.2584313892563088,0.39966892241769536,0.44360432232073754,0.3880524424014089
South Florida,0.10585823083569437,0.3472587255769,0.3542971355291231,0.2797654641210945
Memphis,0.323728122608337,0.23709524783295274,0.16657812515451417,0.213723124390661
East Carolina,0.018224537229106247,0.2492952697708795,0.18736701174049492,0.1366242693870783
